,B01003_001E,B01001_002E,B01001_026E,B01002_001E,B19013_001E,B23025_005E,B17001_002E,B25002_001E,B25002_002E,B25003_002E,B25003_003E,B25002_003E,B25077_001E,B15003_017E,zip code tabulation area,zip_code
0,5635.0,2728.0,2907.0,30.7,108350.0,57.0,961.0,4450.0,3847.0,888.0,2959.0,603.0,419000.0,129.0,19102,19102
1,25705.0,11760.0,13945.0,35.3,93740.0,506.0,2204.0,19482.0,16759.0,5079.0,11680.0,2723.0,537200.0,1096.0,19103,19103
2,53679.0,24632.0,29047.0,22.9,33766.0,1990.0,15794.0,22822.0,18894.0,3594.0,15300.0,3928.0,253000.0,4541.0,19104,19104
3,14012.0,7350.0,6662.0,39.4,128173.0,287.0,653.0,9671.0,8495.0,4057.0,4438.0,1176.0,508300.0,686.0,19106,19106
4,15232.0,7310.0,7922.0,31.1,67690.0,462.0,3044.0,9736.0,8612.0,1593.0,7019.0,1124.0,445500.0,904.0,19107,19107
5,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,0.0,19109,19109
6,67149.0,31213.0,35936.0,38.2,57853.0,2099.0,10402.0,27685.0,25938.0,14245.0,11693.0,1747.0,226100.0,13813.0,19111,19111
7,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,0.0,19112,19112
8,31551.0,14594.0,16957.0,41.6,77737.0,1006.0,2543.0,14733.0,13912.0,9333.0,4579.0,821.0,262500.0,8126.0,19114,19114
9,35103.0,16467.0,18636.0,44.7,67050.0,857.0,3679.0,15133.0,14652.0,9167.0,5485.0,481.0,299200.0,7457.0,19115,19115
10,33648.0,16806.0,16842.0,44.7,64788.0,979.0,4744.0,14141.0,13650.0,7893.0,5757.0,491.0,299600.0,7591.0,19116,19116
11,10599.0,4705.0,5894.0,46.8,100386.0,234.0,629.0,5081.0,4797.0,2425.0,2372.0,284.0,641800.0,685.0,19118,19118
12,29079.0,13080.0,15999.0,42.7,80519.0,1015.0,2622.0,13846.0,12889.0,8324.0,4565.0,957.0,322500.0,3420.0,19119,19119
13,71360.0,33269.0,38091.0,34.2,46505.0,3340.0,20436.0,25935.0,24593.0,15999.0,8594.0,1342.0,133200.0,13202.0,19120,19120
14,37740.0,17226.0,20514.0,27.2,35671.0,2804.0,14578.0,19033.0,15653.0,5203.0,10450.0,3380.0,217700.0,5838.0,19121,19121
15,22898.0,10621.0,12277.0,29.0,54083.0,1126.0,5808.0,9549.0,8521.0,3283.0,5238.0,1028.0,320100.0,2860.0,19122,19122
16,18474.0,9547.0,8927.0,33.3,91092.0,501.0,3507.0,10134.0,9468.0,3119.0,6349.0,666.0,491000.0,1886.0,19123,19123
17,72919.0,36454.0,36465.0,32.3,44683.0,3838.0,23005.0,26902.0,24964.0,15863.0,9101.0,1938.0,133700.0,16492.0,19124,19124
18,24601.0,13027.0,11574.0,34.2,101250.0,561.0,2695.0,12549.0,11662.0,6889.0,4773.0,887.0,340200.0,2954.0,19125,19125
19,17627.0,8286.0,9341.0,38.7,58995.0,828.0,3202.0,7099.0,6412.0,3980.0,2432.0,687.0,182100.0,3380.0,19126,19126
20,5623.0,3255.0,2368.0,29.5,109250.0,105.0,617.0,3198.0,2982.0,1353.0,1629.0,216.0,299700.0,227.0,19127,19127
21,38381.0,18623.0,19758.0,36.3,88261.0,1170.0,3094.0,19207.0,18158.0,10310.0,7848.0,1049.0,304500.0,5293.0,19128,19128
